,Food label,Subs A,Subs B
331,"ONIONS,FRZ,WHL,CKD,BLD,DRND,WO/SALT","MUSHROOMS,WHITE,CKD,BLD,DRND,WO/ SALT","MUSHROOMS,SHIITAKE,CKD,WO/SALT"
332,"ONIONS,YOUNG GRN,TOPS ONLY","BEANS,NAVY,MATURE SEEDS,SPROUTED,RAW","BRUSSELS SPROUTS,RAW"
333,"ONIONS,SWT,RAW","PEPPERS,SWEET,YELLOW,RAW","PEPPERS,SWT,RED,RAW"
334,"ONION RINGS,BREADED,PAR FR,FRZ,UNPREP","BEANS,NAVY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT","SWEET POTATOES,FRENCH FR,FRZ,UNPREP"
335,"ONION RINGS,BREADED,PAR FR,FRZ,PREP,HTD IN OVEN","ARTICHOKES,(GLOBE OR FRENCH),FRZ,UNPREP","CARROTS,FROZEN,UNPREPARED"
336,"PEAS&ONIONS,CND,SOL&LIQUIDS","WINGED BEAN,IMMAT SEEDS,CKD,BLD,DRND,W/SALT","SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,CND,DRND,SOLID,WO/SALT"
337,"PEPPERS,HOT CHILI,GRN,CND,PODS,EXCLUDING SEEDS,SOL&LIQUIDS","CAULIFLOWER,GREEN,RAW","LAMBSQUARTERS,RAW"
338,"PEPPERS,SWT,GRN,CND,SOL&LIQUIDS","ONIONS,FRZ,CHOPD,CKD,BLD,DRND,WO/SALT","POTATOES,HASH BROWN,FRZ,PLN,PREP,PAN FRIED IN CANOLA OIL"
339,POI,"POTATOES,MSHD,DEHYD,GRANULES WO/MILK,DRY FORM","CORN,SWT,WHITE,FRZ,KRNLS ON COB,CKD,BLD,DRND,W/SALT"
340,"POKEBERRY SHOOTS,(POKE),RAW","CHICORY,WITLOOF,RAW","COLLARDS,RAW"
341,"POKEBERRY SHOOTS,(POKE),CKD,BLD,DRND,WO/SALT","WASABI,ROOT,RAW","CORN,SWEET,WHITE,RAW"
342,"POTATOES,RUSSET,FLESH & SKN,RAW","PEAS,GRN,CND,NO SALT,SOL&LIQUIDS","POTATOES,BKD,SKN,WO/SALT"
343,"POTATOES,BKD,FLESH,WO/SALT","POTATOES,RUSSET,FLESH & SKN,RAW","POTATOES,BKD,SKN,WO/SALT"
344,"POTATOES,MSHD,HOME-PREPARED,WHL MILK & MARGARINE ADDED","LAMBS QUARTERS,CKD,BLD,DRND,W/SALT","POTATOES,WHITE,FLESH & SKN,RAW"
345,"POTATOES,SCALLPD,HOME-PREPARED W/BUTTER","VEGETABLES,MXD,FRZ,CKD,BLD,DRND,WO/SALT","CORN,SWT,WHITE,FRZ,KRNLS CUT OFF COB,BLD,DRND,W/SALT"
346,"POTATOES,AU GRATIN,HOME-PREPARED FROM RECIPE USING BUTTER","PEPPERS,SWT,RED,FRZ,CHOPD,UNPREP","PEPPERS,SWT,RED,CKD,BLD,DRND,W/SALT"
347,"POTATOES,MSHD,DEHYD,PREP FROM FLAKES WO/ MILK,WHL MILK & BUT","ASPARAGUS,CND,REG PK,SOL&LIQUIDS","TOMATO PRODUCTS,CND,PUREE,WO/SALT"
348,"POTATOES,FRENCH FR,SHOESTRING,SALT ADDED IN PROC,FRZ,AS PRCH","EPPAW,RAW","CORN,SWT,WHITE,CND,CRM STYLE,REG PK"
349,"POTATOES,FRENCH FR,SHOESTRNG,SALT ADDED IN PROC,FRZ,OVEN-HTD","CORN,SWT,WHITE,CND,CRM STYLE,REG PK","TOMATOES,RED,RIPE,CKD,STWD"
350,"POTATOES,O'BRIEN,FRZ,PREP","SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STMD,W/SALT","CHAYOTE,FRUIT,CKD,BLD,DRND,W/SALT"
351,"POTATO PUFFS,FRZ,OVEN-HEATED","TARO LEAVES,CKD,STMD,WO/SALT","TARO SHOOTS,CKD,WO/SALT"
352,"POTATOES,FRENCH FR,ALL TYPES,SALT ADDED IN PROC,FRZ,OVEN HTD","ONIONS,CKD,BLD,DRND,WO/SALT","MUSTARD GRNS,CKD,BLD,DRND,W/SALT"
353,"POTATOES,FRNCH FR,CTTG-CUT,SALT NOT ADDED,FRZ,AS PRCH","SUCCOTASH,(CORN&LIMAS),RAW","WINGED BNS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT"
354,"POTATOES,FRENCH FR,COTTAGE-CUT,SALT NOT ADDED,FRZ,OVEN-HTD","MUSHROOMS,BROWN,ITALIAN,OR CRIMINI,RAW","CORN,SWT,YEL,FRZ,KRNLS ON COB,UNPREP"
355,"POTATOES,FRENCH FR,STK FRIES,SALT ADDED IN PROC,FRZ,OVEN-HTD","BEETS,CKD,BOILED. DRND,W/SALT","SUCCOTASH,(CORN&LIMAS),CND,W/CRM STYLE CORN"
356,"POTATO SALAD,HOME-PREPARED","PEAS,EDIBLE-PODDED,FRZ,CKD,BLD,DRND,W/SALT","TOMATOES,RED,RIPE,CKD"
357,"PUMPKIN FLOWERS,CKD,BLD,DRND,WO/SALT","CORN,SWT,WHITE,CND,WHL KERNEL,NO SALT,SOL&LIQUIDS","CABBAGE,SAVOY,CKD,BLD,DRND,WO/SALT"
358,"PUMPKIN LEAVES,RAW","TARO LEAVES,RAW","DRUMSTICK LEAVES,RAW"
359,"PUMPKIN,RAW","WATERCRESS,RAW","SOYBEANS,GREEN,RAW"
360,"RADISHES,ORIENTAL,CKD,BLD,DRND,WO/SALT","POTATOES,MICROWAVED,CKD,IN SKN,SKN W/SALT","SPINACH,CKD,BLD,DRND,WO/ SALT"
361,"RADISHES,ORIENTAL,DRIED","BRUSSELS SPROUTS,CKD,BLD,DRND,WO/SALT","BEANS,SNAP,YEL,CKD,BLD,DRND,WO/SALT"
362,"SALSIFY,(VEG OYSTER),RAW","LOTUS ROOT,RAW","COLLARDS,RAW"
363,"SEAWEED,AGAR,RAW","ENDIVE,RAW","SWEET POTATO LEAVES,RAW"
364,"SEAWEED,IRISHMOSS,RAW","SEAWEED,AGAR,DRIED","SEAWEED,LAVER,RAW"
365,"SEAWEED,KELP,RAW","AMARANTH LEAVES,RAW","CHIVES,RAW"
366,"SEAWEED,LAVER,RAW","TARO LEAVES,RAW","SEAWEED,AGAR,DRIED"
367,"SQUASH,SMMR,ZUCCHINI,INCL SKN,RAW","SOYBEANS,GREEN,RAW","SWAMP CABBAGE,(SKUNK CABBAGE),RAW"
368,"SQUASH,WNTR,ACORN,CKD,BLD,MSHD,WO/SALT","PEAS,EDIBLE-PODDED,FRZ,CKD,BLD,DRND,WO/SALT","CAULIFLOWER,CKD,BLD,DRND,WO/SALT"
369,"SQUASH,WNTR,SPAGHETTI,CKD,BLD,DRND,OR BKD,WO/SALT","POTATOES,FRZ,WHL,CKD,BLD,DRND,WO/SALT","MUSHROOMS,WHITE,RAW"
370,"SWAMP CABBAGE,(SKUNK CABBAGE),RAW","SOYBEANS,GREEN,RAW","BAMBOO SHOOTS,RAW"
371,"SWAMP CABBAGE,CKD,BLD,DRND,WO/SALT","CABBAGE,SAVOY,RAW","EGGPLANT,CKD,BLD,DRND,WO/SALT"
372,"SWEET POTATO LEAVES,CKD,STMD,WO/ SALT","POTATOES,MSHD,DEHYD,FLAKES WO/MILK,DRY FORM","BROCCOLI RAAB,CKD"
373,"SWEET POTATO,RAW,UNPREP","SALSIFY,(VEG OYSTER),RAW","LOTUS ROOT,RAW"
374,"TARO,RAW","SALSIFY,(VEG OYSTER),RAW","LOTUS ROOT,RAW"
375,"TARO SHOOTS,RAW","TARO LEAVES,RAW","POKEBERRY SHOOTS,(POKE),RAW"
376,"TOMATOES,GREEN,RAW","MUSHROOMS,SHIITAKE,RAW","BEET GREENS,RAW"
377,"TOMATOES,RED,RIPE,RAW,YEAR RND AVERAGE","SPINACH,FRZ,CHOPD OR LEAF,UNPREP","TOMATO PRODUCTS,CND,PASTE,WO/ SALT ADDED"
378,"TOMATO JUC,CND,W/SALT","BROCCOLI,RAW","PEAS,EDIBLE-PODDED,RAW"
379,"TOMATO PRODUCTS,CND,SAU,W/MUSHROOMS","DRUMSTICK PODS,CKD,BLD,DRND,W/ SALT","CORN,SWT,WHITE,FRZ,KRNLS CUT OFF COB,BLD,DRND,W/SALT"
380,"TOMATO PRODUCTS,CND,SAU,W/ONIONS","POTATOES,MSHD,DEHYD,GRANULES W/MILK,DRY FORM","CABBAGE,SAVOY,CKD,BLD,DRND,W/SALT"
381,"TOMATO PRODUCTS,CND,SAU,W/HERBS&CHS","BEANS,PINTO,MATURE SEEDS,SPROUTED,RAW","FENNEL,BULB,RAW"
382,"TURNIPS,RAW","SWEET POTATO LEAVES,RAW",POTATO FLOUR
383,"TURNIP GREENS,RAW","SWEET POTATO LEAVES,RAW","CHIVES,RAW"
384,"TURNIP GRNS,CND,SOL&LIQUIDS","CORN,SWT,WHITE,CKD,BLD,DRND,W/SALT","TOMATO SAU,CND,NO SALT ADDED"
385,"TURNIP GRNS,FRZ,UNPREP","CHICORY GREENS,RAW","SEAWEED,AGAR,DRIED"
386,"VEGETABLE JUC COCKTAIL,CND","ONIONS,SPRING OR SCALLIONS (INCL TOPS&BULB),RAW","EDAMAME,FRZ,UNPREP"
387,"VINESPINACH,(BASELLA),RAW","CHICORY GREENS,RAW","TARO LEAVES,RAW"
388,"WATERCHESTNUTS,CHINESE,(MATAI),RAW","MOUNTAIN YAM,HAWAII,RAW","LOTUS ROOT,RAW"
389,"WATERCRESS,RAW","SOYBEANS,GREEN,RAW","BAMBOO SHOOTS,RAW"
390,"WAXGOURD,(CHINESE PRESERVING MELON),CKD,BLD,DRND,WO/SALT","POTATOES,MICROWAVED,CKD IN SKN,FLESH,WO/SALT","POTATOES,BKD,FLESH & SKN,WO/ SALT"
391,"WINGED BEAN LEAVES,RAW","CHICORY GREENS,RAW","TARO LEAVES,RAW"
392,"BORAGE,RAW","TURNIP GREENS,RAW","ENDIVE,RAW"
393,"BORAGE,CKD,BLD,DRND,WO/SALT","LAMBSQUARTERS,RAW","JUTE,POTHERB,RAW"
394,"PEPPERS,JALAPENO,CND,SOL&LIQUIDS","CRESS,GARDEN,RAW","BRUSSELS SPROUTS,RAW"
395,"SHALLOTS,FREEZE-DRIED","LEEKS,(BULB&LOWER LEAF-PORTION),RAW","LIMA BNS,IMMAT SEEDS,RAW"
396,"SQUASH,SMMR,ALL VAR,RAW","CABBAGE,SAVOY,RAW","MOUNTAIN YAM,HAWAII,RAW"
397,"SWEET POTATO,CND,SYRUP PK,SOL & LIQUIDS","BROCCOLI,CHINESE,COOKED","KALE,FRZ,CKD,BLD,DRND,W/SALT"
398,"CORN PUDD,HOME PREP","SOYBEANS,MATURE SEEDS,SPROUTED,RAW","SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,CKD,BLD,DRND,W/SALT"
399,"POTATOES,MSHD,HOME-PREPARED,WHL MILK ADDED","MUSHROOMS,WHITE,CKD,BLD,DRND,WO/ SALT","CORN,SWT,WHITE,FRZ,KRNLS CUT OFF COB,UNPREP"
400,SPINACH SOUFFLE,"PEPPERS,SWT,GRN,CKD,BLD,DRND,WO/SALT","POTATOES,FR FR,CRNKL OR REG,SALT ADDED IN PROC,FRZ,AS PURCH"
401,"SWEET POTATO,CKD,CANDIED,HOME-PREPARED","POTATOES,FLESH & SKN,RAW","VEGETABLES,MXD,FRZ,UNPREP"
402,"SEAWEED,WAKAME,RAW","SEAWEED,IRISHMOSS,RAW","SPINACH,FRZ,CHOPD OR LEAF,UNPREP"
403,POTATO PANCAKES,"PEAS&ONIONS,FRZ,UNPREP","BROCCOLI,CKD,BLD,DRND,W/SALT"
404,"RADISH SEEDS,SPROUTED,RAW","BAMBOO SHOOTS,RAW","SOYBEANS,GREEN,RAW"
405,"CARROT,DEHYDRATED","ONIONS,FRZ,CHOPD,CKD,BLD,DRND,WO/SALT","POTATOES,HASH BROWN,FRZ,PLN,PREP,PAN FRIED IN CANOLA OIL"
406,"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,CKD,BLD,DRND,W/SALT","ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,W/SALT","DANDELION GRNS,CKD,BLD,DRND,WO/SALT"
407,"BAMBOO SHOOTS,CKD,BLD,DRND,W/SALT","COLLARDS,CKD,BLD,DRND,WO/SALT","CORN,SWT,YEL,FRZ,KRNLS ON COB,CKD,BLD,DRND,WO/SALT"
408,"BEETS,CKD,BOILED. DRND,W/SALT","CORN,SWT,WHITE,CKD,BLD,DRND,WO/SALT","CABBAGE,RED,CKD,BLD,DRND,WO/SALT"
409,"BORAGE,CKD,BLD,DRND,W/SALT","BAMBOO SHOOTS,CKD,BLD,DRND,W/SALT","COLLARDS,CKD,BLD,DRND,WO/SALT"
410,"BROCCOLI,LEAVES,RAW","DOCK,RAW","SPINACH,FRZ,CHOPD OR LEAF,UNPREP"
411,"CABBAGE,RED,CKD,BLD,DRND,W/SALT","PEAS,GRN,CND,NO SALT,SOL&LIQUIDS","POTATOES,RUSSET,FLESH & SKN,RAW"
412,"CABBAGE,CHINESE (PAK-CHOI),CKD,BLD,DRND,W/SALT","DRUMSTICK LEAVES,CKD,BLD,DRND,WO/ SALT","BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,CKD,BLD,DRND,WO/SALT"
413,"CABBAGE,CHINESE (PE-TSAI),CKD,BLD,DRND,W/SALT","DANDELION GREENS,RAW","GOURD,DISHCLOTH (TOWELGOURD),RAW"
414,"CARDOON,CKD,BLD,DRND,W/SALT","BROCCOLI,FRZ,SPEARS,CKD,BLD,DRND,WO/SALT","PEPPERS,HUNGARIAN,RAW"
415,"CARROTS,CKD,BLD,DRND,W/SALT","PEPPERS,ANCHO,DRIED","LOTUS ROOT,CKD,BLD,DRND,WO/SALT"
416,"CARROTS,CND,NO SALT,SOL&LIQUIDS","LETTUCE,COS OR ROMAINE,RAW","SPINACH,FRZ,CHOPD OR LEAF,UNPREP"
417,"CAULIFLOWER,FRZ,CKD,BLD,DRND,W/SALT","SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STIR-FRIED","TURNIP GRNS&TURNIPS,FRZ,UNPREP"
418,"CELERY,CKD,BLD,DRND,W/SALT","BEANS,SNAP,YEL,CND,NO SALT,DRND SOL","MUSTARD SPINACH,(TENDERGREEN),CKD,BLD,DRND,W/SALT"
419,"CORN,SWT,YEL,CKD,BLD,DRND,W/SALT","ASPARAGUS,CKD,BLD,DRND,W/SALT","ASPARAGUS,CND,NO SALT,SOL&LIQUIDS"
420,"CORN,SWT,YEL,CND,NO SALT,SOL&LIQUIDS","TURNIP GRNS,FRZ,CKD,BLD,DRND,W/SALT","CAULIFLOWER,FRZ,UNPREP"
421,"CRESS,GARDEN,CKD,BLD,DRND,W/SALT","POTATOES,HASH BROWN,FRZ,W/ BUTTER SAU,UNPREP","BURDOCK ROOT,CKD,BLD,DRND,WO/SALT"
422,"JUTE,POTHERB,CKD,BLD,DRND,W/SALT","COWPEAS (BLACKEYES),IMMAT SEEDS,CKD,BLD,DRND,WO/ SALT","GARLIC,RAW"
423,"KALE,SCOTCH,CKD,BLD,DRND,W/SALT","CAULIFLOWER,CKD,BLD,DRND,WO/SALT","PEAS,EDIBLE-PODDED,FRZ,CKD,BLD,DRND,WO/SALT"
424,"MUSHROOMS,SHIITAKE,CKD,W/SALT","OKRA,FRZ,CKD,BLD,DRND,WO/SALT","RADISHES,ORIENTAL,RAW"
425,"NEW ZEALAND SPINACH,CKD,BLD,DRND,W/SALT","CORN,SWT,WHITE,FRZ,KRNLS ON COB,CKD,BLD,DRND,W/SALT","PIGEONPEAS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT"
426,"OKRA,CKD,BLD,DRND,W/SALT","VEGETABLES,MXD (CORN,LIMA BNS,PEAS,GRN BNS,CRRT) CND,NO SALT","LIMA BNS,IMMAT SEEDS,FRZ,BABY,UNPREP"
427,"PEPPERS,SWT,GRN,CKD,BLD,DRND,W/SALT","LENTILS,SPROUTED,CKD,STIR-FRIED,W/SALT","JUTE,POTHERB,CKD,BLD,DRND,WO/SALT"
428,"PEPPERS,SWT,RED,CKD,BLD,DRND,W/SALT","PEAS,GRN,CKD,BLD,DRND,W/SALT","PEAS&ONIONS,FRZ,CKD,BLD,DRND,W/SALT"
429,"POKEBERRY SHOOTS,(POKE),CKD,BLD,DRND,W/SALT","MUSHROOMS,PORTABELLA,EXPOSED TO UV LT,GRILLED","CORN,SWT,YEL,CND,NO SALT,SOL&LIQUIDS"
430,"POTATOES,BLD,CKD IN SKN,FLESH,W/SALT","POTATOES,RUSSET,FLESH & SKN,BKD","PUMPKIN,CND,WO/SALT"
431,"POTATOES,BLD,CKD IN SKN,SKN,W/SALT","PEAS&ONIONS,FRZ,CKD,BLD,DRND,WO/SALT","PIGEONPEAS,IMMAT SEEDS,RAW"
432,"POTATOES,FRZ,WHL,CKD,BLD,DRND,W/SALT","TURNIP GRNS,FRZ,CKD,BLD,DRND,WO/SALT","MUSHROOMS,MAITAKE,RAW"
433,"POTATOES,SCALLPD,HOME-PREPARED W/MARGARINE","MUSTARD GRNS,FRZ,UNPREP","POTATOES,CND,DRND SOL,NO SALT"
434,"PUMPKIN,FLOWERS,CKD,BLD,DRND,W/SALT","CABBAGE,RED,CKD,BLD,DRND,W/SALT","YAM,CKD,BLD,DRND,OR BKD,W/SALT"
435,"RADISHES,ORIENTAL,CKD,BLD,DRND,W/SALT","PIGEONPEAS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT","SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,CND,DRND,SOLID,WO/SALT"
436,"SQUASH,SMMR,ALL VAR,CKD,BLD,DRND,W/SALT","PEAS,GRN,FRZ,CKD,BLD,DRND,WO/SALT","BROCCOLI,FRZ,CHOPD,CKD,BLD,DRND,W/SALT"
437,"SUCCOTASH,(CORN&LIMAS),CKD,BLD,DRND,W/SALT","PIMENTO,CANNED","BRUSSELS SPROUTS,FRZ,CKD,BLD,DRND,WO/SALT"
438,"TOMATOES,RED,RIPE,CKD,W/ SALT","JERUSALEM-ARTICHOKES,RAW","EGGPLANT,CKD,BLD,DRND,W/SALT"
439,"TOMATO JUC,CND,WO/ SALT ADDED","LAMBSQUARTERS,RAW","WINGED BEAN LEAVES,RAW"
440,"WAXGOURD,(CHINESE PRESERVING MELON),CKD,BLD,DRND,W/SALT","BRUSSELS SPROUTS,FRZ,CKD,BLD,DRND,WO/SALT","NEW ZEALAND SPINACH,RAW"
441,"WINGED BEAN,IMMAT SEEDS,CKD,BLD,DRND,W/SALT","DRUMSTICK PODS,CKD,BLD,DRND,W/ SALT","BROCCOLI,FRZ,SPEARS,CKD,BLD,DRND,WO/SALT"
442,"YAMBEAN (JICAMA),CKD,BLD,DRND,W/SALT","BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,W/SALT","WATERCHESTNUTS,CHINESE,CND,SOL&LIQUIDS"
443,"YARDLONG BEAN,CKD,BLD,DRND,W/SALT","PEAS,GRN,CND,DRND SOL,RINSED IN TAP H2O","MUSHROOMS,WHITE,MICROWAVED"
444,"CORN,SWT,WHITE,FRZ,KRNLS CUT OFF COB,BLD,DRND,WO/SALT","COWPEAS (BLACKEYES),IMMAT SEEDS,FRZ,CKD,BLD,DRND,W/ SALT","VEGETABLES,MXD,FRZ,UNPREP"
445,"CORN,SWT,WHITE,FRZ,KRNLS ON COB,CKD,BLD,DRND,W/SALT","PIGEONPEAS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT","POTATOES,MSHD,DEHYD,GRANULES WO/MILK,DRY FORM"
446,"PEPPERS,SWT,RED,CND,SOL&LIQUIDS","MUSHROOMS,WHITE,RAW","SQUASH,WNTR,SPAGHETTI,CKD,BLD,DRND,OR BKD,WO/SALT"
447,"PEPPERS,SWT,RED,FRZ,CHOPD,BLD,DRND,W/ SALT","PEAS,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT","SQUASH,ZUCCHINI,BABY,RAW"
448,"SESBANIA FLOWER,CKD,STMD,W/SALT","DRUMSTICK LEAVES,CKD,BLD,DRND,W/ SALT","CHAYOTE,FRUIT,CKD,BLD,DRND,W/SALT"
449,"DOCK,CKD,BLD,DRND,W/SALT","SQUASH,WNTR,HUBBARD,CKD,BLD,MSHD,W/SALT","SWEET POTATO,CND,SYRUP PK,DRND SOL"
450,"POTATOES,MSHD,DEHYD,PREP FRM FLKS WO/ MILK,WHL MILK&MARG ADD","MUSHROOMS,SHIITAKE,CKD,WO/SALT","GOURD,DISHCLOTH (TOWELGOURD),CKD,BLD,DRND,W/SALT"
451,"PEPPERS,SWT,RED,FREEZE-DRIED","POTATOES,MSHD,DEHYD,PREP FRM FLKS WO/ MILK,WHL MILK&MARG ADD","MUSHROOMS,WHITE,CKD,BLD,DRND,WO/ SALT"
452,Catsup,"ONIONS,SPRING OR SCALLIONS (INCL TOPS&BULB),RAW",POTATO FLOUR
453,"PICKLES,CUCUMBER,DILL OR KOSHER DILL","MUSTARD GRNS,CKD,BLD,DRND,W/SALT","BEANS,PINTO,IMMAT SEEDS,FRZ,UNPREP"
454,"PICKLES,CUCUMBER,SWT (INCLUDES BREAD & BUTTER PICKLES)","POTATOES,MSHD,DEHYD,GRANULES WO/MILK,DRY FORM","MUSHROOMS,OYSTER,RAW"
455,"PICKLES,CUCUMBER,SOUR","CAULIFLOWER,CKD,BLD,DRND,W/SALT","PIGEONPEAS,IMMAT SEEDS,RAW"
456,"PICKLE RELISH,HOT DOG","TOMATO PRODUCTS,CND,SAU,W/ONIONS,GRN PEPPERS,&CELERY","ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,WO/SALT"
457,"PICKLE RELISH,SWEET","PEAS,GRN (INCLUDES BABY & LESUER TYPES),CND,DRND SOL,UNPREP","CORN,SWT,YEL,FRZ,KRNLS ON COB,CKD,BLD,DRND,WO/SALT"
458,"TOMATILLOS,RAW","PEPPERS,SWT,RED,RAW","SWAMP CABBAGE,(SKUNK CABBAGE),RAW"
459,"TOMATOES,SUN-DRIED","CHIVES,RAW","ENDIVE,RAW"
460,"PICKLE RELISH,HAMBURGER","SQUASH,WNTR,BUTTERNUT,CKD,BKD,WO/SALT","CELERY,CKD,BLD,DRND,W/SALT"
461,"PEPPERS,HOT CHILE,SUN-DRIED","BUTTERBUR,CANNED","GOURD,WHITE-FLOWERED (CALABASH),CKD,BLD,DRND,WO/SALT"
462,"CAULIFLOWER,GREEN,RAW","KALE,RAW","CHICORY GREENS,RAW"
463,"CABBAGE,NAPA,COOKED","COLLARDS,RAW","SPINACH,FRZ,CHOPD OR LEAF,UNPREP"
464,"GRAPE LEAVES,CND","BEANS,PINTO,IMMAT SEEDS,FRZ,CKD,BLD,DRND,WO/SALT","WINGED BEAN,IMMAT SEEDS,CKD,BLD,DRND,W/SALT"
465,"PICKLES,CHOWCHOW,W/CAULIFLOWER ONION MUSTARD,SWT","SQUASH,WNTR,ALL VAR,CKD,BKD,W/SALT","PEAS&ONIONS,FRZ,UNPREP"
466,"MUSHROOMS,STRAW,CND,DRND SOL","OKRA,CKD,BLD,DRND,WO/SALT","DRUMSTICK LEAVES,RAW"
467,"FIDDLEHEAD FERNS,RAW","COLLARDS,CKD,BLD,DRND,WO/SALT","TURNIP GRNS,FRZ,CKD,BLD,DRND,WO/SALT"
468,"PUMPKIN&SQUASH SD KRNLS,DRIED","PUMPKIN&SQUASH SEEDS,WHL,RSTD,WO/SALT","SISYMBRIUM SP. SEEDS,WHL,DRIED"
469,"PUMPKIN&SQUASH SD KRNLS,RSTD,WO/SALT","SUNFLOWER SD KRNLS,DRY RSTD,WO/SALT","PISTACHIO NUTS,DRY RSTD,WO/SALT"
470,"SAFFLOWER SD KRNLS,DRIED","SISYMBRIUM SP. SEEDS,WHL,DRIED","PUMPKIN&SQUASH SEEDS,WHL,RSTD,WO/SALT"
471,"BRAZILNUTS,DRIED,UNBLANCHED","ALMONDS,DRY RSTD,WO/SALT","NUTS,CASHEW NUTS,RAW"
472,"CASHEW NUTS,DRY RSTD,WO/SALT","COCONUT MEAT,RAW","PINE NUTS,PINYON,DRIED"
473,"CASHEW NUTS,OIL RSTD,WO/SALT","MIXED NUTS,OIL RSTD,W/PNUTS,WO/SALT","PUMPKIN&SQUASH SEEDS,WHL,RSTD,WO/SALT"
474,"NUTS,CASHEW NUTS,RAW","ALMONDS,DRY RSTD,WO/SALT","SUNFLOWER SD KRNLS,DRY RSTD,WO/SALT"
475,"MACADAMIA NUTS,RAW","WALNUTS,BLACK,DRIED",PECANS
476,"MIXED NUTS,OIL RSTD,W/PNUTS,WO/SALT","PUMPKIN&SQUASH SEEDS,WHL,RSTD,WO/SALT","PECANS,DRY RSTD,WO/SALT"
477,"PECANS,OIL RSTD,WO/SALT","PECANS,DRY RSTD,WO/SALT","PUMPKIN&SQUASH SEEDS,WHL,RSTD,WO/SALT"
478,"PISTACHIO NUTS,DRY RSTD,WO/SALT","ALMONDS,DRY RSTD,WO/SALT","SUNFLOWER SD KRNLS,DRY RSTD,WO/SALT"
479,"WALNUTS,ENGLISH","PISTACHIO NUTS,DRY RSTD,WO/SALT","SUNFLOWER SD KRNLS,DRY RSTD,WO/SALT"
480,"SESAME SD KRNLS,DRIED (DECORT)","PUMPKIN&SQUASH SEEDS,WHL,RSTD,WO/SALT","SAFFLOWER SD KRNLS,DRIED"
481,"BEEF,RTL CUTS,FAT,RAW","BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,ALL GRDS,CKD,RSTD","BEEF,SHLDR TOP BLADE STEAK,BNLESS,LN & FAT,0"" FAT,SEL,RAW"
482,"BEEF,BRISKET,FLAT HALF,LN & FAT,1/8"" FAT,SEL,CKD,BRSD","BEEF,RND,BTTM RND,STEAK,LN,1/8"" FAT,SEL,CKD,BRSD","BEEF,NZ,IMP,FLAT,LN & FAT,RAW"
483,"BEEF,FLANK,STEAK,LN & FAT,0"" FAT,CHOIC,CKD,BRSD","BEEF,TOP SIRLOIN,STEAK,LN,1/8"" FAT,SEL,RAW","BEEF,NZ,IMP,BRISKET POINT END,LN,CKD,BRSD"
484,"BEEF,RIB,EYE,SML END (RIBS 10-12),LN&FAT,0""FAT,CHOIC,RAW","BEEF,ASTRLN,GRSSFD,RND,BTTM RND STEAK/RST,BNLS,LN & FAT,RAW","BEEF,NZ,IMP,TENDERLOIN,LN & FAT,CKD,FAST FRIED"
485,"BEEF,RIB,EYE,SML END (RIBS 10-12),LN,0""FAT,CHOIC,CKD,BRLD","BEEF,RND,TOP RND RST,BNLESS,LN,0"" FAT,SEL,CKD,RSTD","BEEF,TOP LOIN FILET,BNLESS,LN,1/8"" FAT,SEL,CKD,GRILLED"
486,"BEEF,RND,FULL CUT,LN,1/4""FAT,CHOIC,CKD,BRLD","BEEF,RND,TOP RND RST,BNLS,LN&FAT,0"" FAT,ALLGRD,CKD,RSTD","BEEF,LOIN,TENDERLOIN STEAK,BNLESS,LN & FAT,0"" FAT,SEL,RAW"
487,"USDA CMDTY,BF,CND","BEEF,CHK,UND BL CNTR STK,BNL,DEN CUT,LN & FAT, ALL GR, CKD","BEEF,BTTM SIRLOIN,TRI-TIP RST,LN,0"" FAT,CHOIC,RAW"
488,"BEEF,SHRT LOIN,PRTRHS STEAK,LN,1/8"" FAT,CHOIC,CKD,GRILLED","BEEF,RND,EYE OF RND RST,BNLESS,LN,0"" FAT,CHOIC,CKD,RSTD","BEEF,LOIN,TOP LOIN STK,BNLS,LIP OFF,LN & FAT,0"" FT,ALLGRD,RW"
